f,TF,Rs,Ls,Csh,Gsh,C0,G0,CHL,GHL,Case_name
10,-72.84046455,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
10.02305238,-72.86048968,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
10.0461579,-72.88051494,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
10.06931669,-72.90054032,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
10.09252886,-72.92056583,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
10.11579454,-72.94059146,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
10.13911386,-72.96061722,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
10.16248693,-72.9806431,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
10.18591388,-73.00066911,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
10.20939484,-73.02069525,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
10.23292992,-73.04072152,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
10.25651926,-73.06074791,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
10.28016298,-73.08077444,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
10.3038612,-73.10080109,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
10.32761406,-73.12082788,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
10.35142167,-73.1408548,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
10.37528416,-73.16088184,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
10.39920166,-73.18090902,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
10.42317429,-73.20093634,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
10.44720219,-73.22096378,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
10.47128548,-73.24099136,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
10.49542429,-73.26101908,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
10.51961874,-73.28104693,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
