,f,TF,Rs,Ls,Csh,Gsh,C0,G0,CHL,GHL,Case_name
0,10.0,-72.84046455,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
1,10.02305238,-72.86048968,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
2,10.046157899999999,-72.88051494,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
3,10.06931669,-72.90054032,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
4,10.09252886,-72.92056583,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
5,10.11579454,-72.94059146,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
6,10.13911386,-72.96061722,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
7,10.16248693,-72.9806431,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
8,10.18591388,-73.00066911,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
9,10.20939484,-73.02069525,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
10,10.23292992,-73.04072152,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
11,10.25651926,-73.06074791,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
12,10.28016298,-73.08077444,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
13,10.3038612,-73.10080109,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
14,10.32761406,-73.12082788,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
15,10.35142167,-73.1408548,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
16,10.37528416,-73.16088184,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
17,10.39920166,-73.18090902,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
18,10.42317429,-73.20093634,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
19,10.44720219,-73.22096378,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
20,10.47128548,-73.24099136,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
21,10.49542429,-73.26101908,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
22,10.51961874,-73.28104693,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
23,10.54386896,-73.30107491,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
24,10.56817509,-73.32110304,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
