Case_Id,L1,L2 ,distance,C1,C2,Cm,RL
1,418.4,414.3,200,9.7,9.7,66.6,94
2,418.4,414.3,200,9.7,9.7,66.6,47
3,418.4,414.3,200,9.7,9.7,66.6,130
4,418.4,414.3,200,9.7,9.7,66.6,505
5,418.4,414.3,200,9.7,9.7,66.6,5.1
6,418.4,414.3,200,9.7,9.7,66.6,94
10,418.4,414.3,130,9.7,9.7,66.6,94
11,418.4,414.3,165,9.7,9.7,66.6,94
12,418.4,414.3,235,9.7,9.7,66.6,94
13,418.4,414.3,270,9.7,9.7,66.6,94
18,418.4,414.3,200,9.7,10.7,66.6,94
19,418.4,414.3,200,9.7,11.7,66.6,94
20,418.4,414.3,200,9.7,6.7,66.6,94
21,418.4,414.3,200,9.7,4.6,66.6,94
22,418.4,414.3,200,9.7,9.7,71.2,94
23,418.4,414.3,200,9.7,9.7,73.4,94
24,418.4,414.3,200,9.7,9.7,55.3,94
25,418.4,414.3,200,9.7,9.7,33.3,94
26,418.4,414.3,200,9.7,9.7,80.3,94
