Pm;Vm;Im;Voc;Isc;Voc_coeff;Isc_coeff;Rs;Iph;I0;Rp;n
3.347083333;0.461666667;7.25;0.601666667;7.78;-0.45299;0.066003;0.0087055;7.7983;4.5733E-09;11.81919333;1.102
3.338979167;0.569791667;5.86;0.675;6.24;-0.356;0.07;0.003484271;6.2433;1.8611E-10;6.535371875;1.0848
4.23325;0.5125;8.26;0.640277778;8.68;-0.44299;0.041002;0.005308194;8.8523;3.8136E-09;6.922656944;1.1562
4.2585;0.51;8.35;0.633333333;8.75;-0.443;0.049006;0.004788667;8.9093;3.8855E-09;12.83378333;1.144
3.67;0.5;7.34;0.61;8.1;-0.3871;0.05858;0.004327833;8.1259;6.6686E-10;1.354645;1.0249
3.499165;0.4735;7.39;0.610166667;8.04;-0.35001;0.06;0.008782833;8.0716;1.9043E-10;2.232211667;0.9719
4.092083333;0.508333333;8.05;0.637777778;8.44;-0.34691;0.067618;0.006676944;8.4853;1.8333E-10;31.85657222;1.0109
2.082666667;0.488888889;4.26;0.602777778;4.86;-0.337;0.054609;0.009428056;4.8969;6.9548E-11;1.2407625;0.94325
3.41525;0.475;7.19;0.57;8.05;-0.2969;0.036696;0.003812167;8.0851;2.2993E-11;0.875048333;0.83714
2.916375;0.4125;7.07;0.501388889;7.83;-0.3723;0.061711;0.003570972;7.8568;3.9771E-10;1.042208333;0.8254
2.291;0.483333333;4.74;0.608333333;5.1;-0.3374;0.042608;0.011236667;5.1174;7.4446E-11;4.610969444;0.94986
4.09409;0.5005;8.18;0.621;8.71;-0.31522;0.015637;0.0059095;8.7999;5.2314E-11;2.312128333;0.93621
2.575;0.5;5.15;0.622222222;5.5;-0.444;0.072;0.0078075;5.519;2.5487E-09;11.11660833;1.1272
4.1385;0.516666667;8.01;0.633333333;8.58;-0.36;0.06;0.004824;8.606;2.8987E-10;3.367193333;1.0232
4.027655556;0.519027778;7.76;0.619027778;8.52;-0.3466;0.026596;0.002928472;8.5386;1.6776E-10;1.3414;0.97953
2.291;0.483333333;4.74;0.595833333;5.19;-0.4111;0.034644;0.007435278;5.2044;8.744E-10;2.676640278;1.0324
4.166008333;0.511166667;8.15;0.631333333;8.71;-0.3609;0.069897;0.005254333;8.7257;3.0835E-10;4.326776667;1.0218
3.402777778;0.486111111;7;0.575;8.06;-0.32121;0.078486;0.002470556;8.0593;6.6164E-11;0.689877778;0.88056
