,Pm,Vm,Im,Voc,Isc,Voc_coeff,Isc_coeff
1,1.6625,0.475,3.5,0.586111111,3.8,-0.379146919,0.065
2,2.077777778,0.472222222,4.4,0.602777778,4.8,-0.370967742,0.029166667
3,3.706351852,0.487037037,7.61,0.609259259,8.21,-0.373860182,0.038733252
4,1.5225,0.483333333,3.15,0.602777778,3.45,-0.350230415,0.04057971
5,0.999166667,0.458333333,2.18,0.594444444,2.3,-0.355140187,0.043478261
6,1.331666667,0.472222222,2.82,0.602777778,3.1,-0.359447005,0.032258065
7,2.077777778,0.472222222,4.4,0.602777778,4.8,-0.350230415,0.041666667
8,1.947916667,0.458333333,4.25,0.594444444,4.7,-0.355140187,0.042553191
9,2.226388889,0.486111111,4.58,0.605555556,4.97,-0.37399,0.088994
10,3.128125,0.48125,6.5,0.6,7.12,-0.35649,0.045
11,3.402777778,0.486111111,7,0.575,8.06,-0.32,0.04
