,Pm,Vm,Im,Voc,Isc,Voc_coeff,Isc_coeff
1,5.975833333,0.591666667,10.1,0.708333333,10.55,-0.290196078,0.05
2,6.0455,0.594444444,10.17,0.711111111,10.6,-0.2890625,0.05
3,6.186,0.6,10.31,0.716666667,10.72,-0.290697674,0.05
4,6.475,0.616666667,10.5,0.719444444,10.82,-0.28957529,0.05
5,6.547527778,0.619444444,10.57,0.722222222,10.88,-0.290384615,0.05
6,1.39,0.5,2.78,0.625,3,-0.302222222,0.05
7,2.57125,0.504166667,5.1,0.622222222,5.45,-0.330357143,0.056
8,2.641180556,0.506944444,5.21,0.625,5.54,-0.331111111,0.05599278
9,2.711722222,0.509722222,5.32,0.626388889,5.63,-0.33037694,0.056003552
10,2.782875,0.5125,5.43,0.627777778,5.72,-0.329646018,0.055996503
11,2.849486111,0.515277778,5.53,0.630555556,5.81,-0.330396476,0.056006885
12,2.921833333,0.518055556,5.64,0.633333333,5.9,-0.328947368,0.056
13,4.16432,0.510333333,8.16,0.624,8.73,-0.339209402,0.07
14,4.248051667,0.516166667,8.23,0.6315,8.79,-0.340459224,0.07
15,4.32492,0.522333333,8.28,0.6375,8.83,-0.339869281,0.07
16,4.404533333,0.530666667,8.3,0.6435,8.87,-0.339290339,0.07
17,4.506828333,0.537166667,8.39,0.646,8.93,-0.340557276,0.07
18,4.597798333,0.542833333,8.47,0.6505,8.99,-0.340763515,0.07
19,4.664,0.53,8.8,0.65,9.35,-0.338461538,0.048128342
20,4.7495,0.536666667,8.85,0.651666667,9.5,-0.337595908,0.047368421
21,4.833,0.54,8.95,0.655,9.6,-0.335877863,0.046875
22,2.779472222,0.497222222,5.59,0.609722222,5.87,-0.318906606,0.05
23,6.115555556,0.597222222,10.24,0.713888889,10.66,-0.289883268,0.05
24,3.344263889,0.606944444,5.51,0.727777778,5.85,-0.25,0.03008547
25,3.272777778,0.597222222,5.48,0.719444444,5.84,-0.250965251,0.029965753
26,3.201875,0.5875,5.45,0.711111111,5.83,-0.25,0.030017153
27,3.44375,0.604166667,5.7,0.726041667,6.07,-0.235294118,0.055024712
28,3.39,0.6,5.65,0.725,6.03,-0.235632184,0.055058043
29,3.33653125,0.596875,5.59,0.722916667,5.98,-0.234870317,0.055016722
30,5.666266667,0.606666667,9.34,0.718333333,10.09,-0.238979118,0.04
31,5.74355,0.611666667,9.39,0.723333333,10.12,-0.239631336,0.04
32,5.84325,0.618333333,9.45,0.73,10.16,-0.239726027,0.04
33,5.921666667,0.623333333,9.5,0.733333333,10.19,-0.240909091,0.04
34,5.199166667,0.611666667,8.5,0.726666667,9.1,-0.236238532,0.035
35,5.241666667,0.616666667,8.5,0.733333333,9.2,-0.236363636,0.035
36,5.346333333,0.621666667,8.6,0.738333333,9.2,-0.237020316,0.035
37,5.415833333,0.558333333,9.7,0.673611111,10.25,-0.301030928,0.06
38,5.484375,0.5625,9.75,0.676388889,10.29,-0.299794661,0.06
39,5.553333333,0.566666667,9.8,0.679166667,10.33,-0.300613497,0.06
40,5.622708333,0.570833333,9.85,0.681944444,10.37,-0.299389002,0.06
41,5.461636364,0.563636364,9.69,0.666666667,10.29,-0.290909091,0.05
42,5.54025,0.565909091,9.79,0.668181818,10.38,-0.290249433,0.05
43,5.613636364,0.568181818,9.88,0.66969697,10.48,-0.28959276,0.05
44,5.687431818,0.570454545,9.97,0.671212121,10.58,-0.288939052,0.05
45,5.767363636,0.572727273,10.07,0.672727273,10.68,-0.290540541,0.05
46,5.842,0.575,10.16,0.674242424,10.78,-0.28988764,0.05
47,5.4208,0.470555556,11.52,0.565138889,12.21,-0.250675842,0.04
48,5.49085,0.474166667,11.58,0.569444444,12.27,-0.251219512,0.04
49,5.559716667,0.477638889,11.64,0.573611111,12.34,-0.249394673,0.04
50,5.629,0.481111111,11.7,0.577777778,12.4,-0.25,0.04
51,5.6987,0.484583333,11.76,0.581944444,12.47,-0.250596659,0.04
